name,album,artists,"""popularity""",disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,track_number
Bermuda Love Triangle,The Only Non-Classical Album You'll Ever Need,['Joe Jack Wagner'],0.228914288,1,FALSE,0.539,0.546,1,-9.677,1,0.0268,0.345,0,0.309,0.604,89.804,79080,4,2007,5/6/2007,1
Catch Some Hell,Drag U Later,['Anthony Vincent and The Rhythm Dragons'],0.929017813,1,FALSE,0.503,0.826,5,-5.767,1,0.0517,0.0866,0.532,0.053,0.832,142.231,199653,4,2007,4/24/2007,8
Need A Friend,Through the Heart of Town,['The New Madrids'],0.462119662,1,FALSE,0.48,0.627,2,-7.62,1,0.0298,0.0494,0.00264,0.235,0.501,132.183,321085,4,2014,1/15/2014,10
Vem Menina,Achados E Perdidos,"['Curumin', 'Lino Krizz']",0.741504011,1,FALSE,0.905,0.742,0,-7.848,1,0.154,0.18,0.171,0.115,0.854,130.56,258027,5,2005,9/20/2005,10
"29 Little Preludes, Op. 51, FS 136: No. 6. —",Nielsen: The Organ Works,"['Carl Nielsen', 'Bine Katrine Bryndorf']",0.91706395,1,FALSE,0.187,0.00019,5,-40.169,1,0.0763,0.953,0.671,0.0891,0,129.965,48507,3,2017,1/20/2017,9
"Water Music: Suite No. 1 in F Major, HWV 348: Adagio e staccato","Händel: Feuerwerksmusik, Wassermusik","['George Frideric Handel', 'Collegium Aureum']",0.525379016,1,FALSE,0.271,0.104,2,-20.591,0,0.0391,0.918,0.958,0.105,0.109,48.469,122067,4,1971,1971,8
"25 Irish songs, WoO 152 (text by A. Grant): Farewell Bliss, and Farewell Nancy, WoO 152/20",Beethoven / Mozart / Schubert: Music To Hear,"['Ludwig van Beethoven', 'Stephen Powell', 'Lorraine Reinhardt', 'Linda Lee Thomas', 'Gwen Thompson', 'Eugene Osadchy', 'Vancouver Chamber Choir', 'Jon Washburn']",0.335271024,1,FALSE,0.262,0.0791,5,-21.266,1,0.0422,0.991,0.0833,0.0761,0.0953,129.341,204827,4,2000,1/1/2000,5
Uncrossed,Cuidado Madame,['Arto Lindsay'],0.913590926,1,FALSE,0.54,0.527,4,-16.208,0,0.467,0.234,0.125,0.279,0.469,168.442,243520,3,2017,4/21/2017,9
Playground - Paradise Mix,Playground Remixes,"['Phony Orphants', 'Paradise']",0.189557325,1,FALSE,0.773,0.78,8,-8.63,0,0.0537,0.00126,0.865,0.101,0.193,128.004,577213,4,2012,3/6/2012,1
"Symphony in D Minor, Ben. 147: IV. Rondo: Allegro",Pleyel: Symphonies in C Major / G Major / D Minor,"['Ignaz Pleyel', 'London Mozart Players', 'Matthias Bamert']",0.442079634,1,FALSE,0.523,0.315,2,-16.941,1,0.064,0.933,0.941,0.0595,0.425,79.638,259920,4,1997,3/1/1997,12
Took It,Snow In June,['Little Black Dress'],0.867646482,1,FALSE,0.525,0.664,2,-7.059,1,0.0316,0.0201,0.145,0.133,0.545,116.006,190107,4,2009,6/9/2009,9
Quitter,Headswell,['Sainthood Reps'],0.339097327,1,FALSE,0.368,0.766,6,-8.393,1,0.0487,0.00197,0.00517,0.131,0.0773,114.935,336009,4,2013,10/22/2013,8
Prelude to Dusk,Illuminate,['Emilee Hartley'],0.734676073,1,FALSE,0.354,0.057,2,-22.562,1,0.0442,0.978,0.913,0.297,0.195,74.201,202013,3,2017,12/8/2017,2
Reviens,La vie est belle pareil,['Steve Labrecque'],0.817168216,1,FALSE,0.581,0.549,0,-7.887,1,0.03,0.63,0,0.156,0.11,138.159,229533,4,2020,4/20/2020,5
Lift up Every Stone,Crossing Muddy Waters,['John Hiatt'],0.660513185,1,FALSE,0.659,0.764,4,-6.606,1,0.0828,0.21,0,0.0992,0.884,115.472,195135,4,2000,9/26/2000,5
Suite: A-Roving,"English String Miniatures, Vol. 1","['John Rutter', 'Royal Ballet Sinfonia', 'David Lloyd-Jones']",0.631940589,1,FALSE,0.269,0.0898,2,-24.864,1,0.0394,0.764,0.661,0.19,0.384,143.891,191520,4,2001,3/17/2001,1
Arrows - Loops Variation,Loops In The Secret Society,['Jane Weaver'],0.104620562,1,FALSE,0.588,0.546,0,-7.809,1,0.0307,0.0454,0.911,0.566,0.361,118.042,263867,4,2019,6/21/2019,3
Chupacabra,Darker Than Black,['Cage'],0.078403657,1,FALSE,0.435,0.763,2,-4.872,1,0.0309,0.00029,0,0.0729,0.273,92.001,223893,4,2004,5/1/2004,3
Gettin On My Shoes,Dalton Mountain Gang,['Dalton Mountain Gang'],0.69203659,1,FALSE,0.677,0.261,7,-11.201,1,0.0415,0.885,0,0.242,0.534,124.072,163467,4,2010,6/8/2010,8
"Keyboard Sonata in D Major, R. 3: II. Allegretto","Cimarosa, D.: Keyboard Sonatas, Vol. 1 - R. 1-18","['Domenico Cimarosa', 'Victor Sangiorgio']",0.994827122,1,FALSE,0.359,0.145,2,-27.971,1,0.0418,0.994,0.912,0.14,0.836,96.328,133547,4,2009,3/31/2009,8
That Man of Mine,This Time For Real,['Betty Wright'],0.169909407,1,FALSE,0.693,0.755,1,-6.239,0,0.0485,0.529,1.81E-06,0.768,0.97,117.447,205867,4,1977,1/1/1977,1
Finale,Live,['William Shatner'],0.829754445,1,FALSE,0.744,0.136,11,-18.764,1,0.678,0.52,0,0.686,0.663,45.936,80300,4,2014,8/19/2014,14
Cast Out to Deep Waters,Dauphin Elegies,['Pelt'],0.414845396,1,FALSE,0.0603,0.246,2,-10.391,0,0.0419,0.947,0.919,0.09,0.0374,54.714,1898640,4,2008,6/24/2008,3
"I Mean You,",Jazz Brasil,['Mark Weinstein'],0.419967098,1,FALSE,0.554,0.606,0,-10.764,1,0.043,0.402,0.784,0.131,0.856,113.924,256240,4,2013,1/1/2013,1
"Danza de Bailaviejo - Son chontal de Tucta, Tabasco","La flauta indígena Mexicana, Grabaciones de campo","['Fredi Román Arias', 'Martín Hernández', 'Maximino Esteban Magaña']",0.324671878,1,FALSE,0.583,0.843,7,-10.533,1,0.0543,0.345,0.0883,0.154,0.501,89.695,180827,4,2010,8/20/2010,7
Never Gon Fall,Fly Like a Wyvern,['Wyvern'],0.585600486,1,TRUE,0.574,0.628,0,-7.936,0,0.108,0.169,0,0.359,0.27,134.523,172815,4,2020,2/18/2020,7
The Gravity Test,Escape,['Circus Devils'],0.836804395,1,FALSE,0.555,0.299,3,-12.226,0,0.0638,0.911,0.117,0.105,0.0383,89.231,86067,4,2014,2014,9
Godspeed Solider,First Weapon Drawn,['CZARFACE'],0.502995453,1,FALSE,0.48,0.593,11,-9.295,1,0.315,0.186,0.00281,0.162,0.505,78.057,143845,4,2017,4/28/2017,10
Hungry Eyes,The Why Because,['John DeNicola'],0.679522168,1,FALSE,0.536,0.587,5,-6.958,1,0.0258,0.311,0,0.103,0.821,106.007,247813,4,2019,10/25/2019,3
Cycles In The Avenue,Terruno,['Berta Rojas'],0.749749726,1,FALSE,0.468,0.267,2,-13.409,1,0.0394,0.939,0.924,0.116,0.489,100.932,99680,4,2009,9/9/2009,12
I Just Need Someone,"Summer, 1983",['2DCAT'],0.909736353,1,FALSE,0.651,0.483,7,-13.926,1,0.0327,0.0436,4.77E-06,0.135,0.329,110.003,228006,4,2019,4/8/2019,4
Partita: III. Intermezzo [Homage to Henry Hall],Vaughan Williams: Symphony No. 8 / 2 Hymn-Tune Preludes / Fantasia On Greensleeves / Partita,"['Ralph Vaughan Williams', 'London Symphony Orchestra', 'Bryden Thomson']",0.734100658,1,FALSE,0.189,0.0932,0,-22.662,0,0.0382,0.936,0.86,0.118,0.11,135.752,267840,3,1990,4/1/1990,10
Act IX: Who It Is... 6 Months In The Icebox,Suppressive Acts I-X,['Lesser'],0.720758427,1,FALSE,0.733,0.696,8,-10.5,1,0.237,0.627,0.535,0.139,0.301,150.005,331987,4,2003,11/10/2003,9
"Soldier, Soldier","Grainger Edition, Vol. 2: Songs for Baritone","['Percy Grainger', 'Stephen Varcoe', 'Penelope Thwaites']",0.206985503,1,FALSE,0.529,0.121,0,-22.784,1,0.0734,0.981,1.03E-05,0.0316,0.269,114.983,218373,4,2013,2013,17
Passion And Fire,Living On The Edge Of A Knife,['Cougar'],0.336848384,1,FALSE,0.589,0.534,2,-16.05,1,0.0426,0.201,0.00889,0.139,0.474,112.542,241200,4,2007,8/7/2007,7
"Fantaisie in F Minor, Op. 49","Volume 1, Chopin: Recorded at Carnegie Hall","['Frédéric Chopin', 'Evgeny Kissin']",0.968595638,1,FALSE,0.348,0.101,8,-22.579,1,0.0407,0.984,0.883,0.666,0.0388,72.975,839160,3,1993,2/5/1993,1
Suite in A Minor (1706): V. Gavotte - Menuet,Rameau: Complete Works for Harpsichord,"['Jean-Philippe Rameau', 'Trevor Pinnock']",0.025155778,1,FALSE,0.329,0.299,8,-20.858,0,0.0395,0.484,0.324,0.0596,0.693,115.959,171667,3,1988,1988,5
Har Du Visor Min Vän,Entranced,['Tine Bruhn'],0.349504557,1,FALSE,0.524,0.274,11,-12.395,0,0.0373,0.763,0.00011,0.106,0.332,125.608,330480,3,2009,4/29/2009,8
ひとり,First Album,['tofubeats'],0.603213734,1,FALSE,0.656,0.906,5,-4.08,1,0.0541,0.351,0,0.0757,0.886,102.023,265680,4,2014,10/1/2014,16
Once In Love With Amy - From Where's Charley?,Ultimate Broadway,['Ray Bolger'],0.211114117,1,FALSE,0.628,0.107,10,-14.644,1,0.0518,0.906,0,0.141,0.481,82.96,260200,4,1998,6/30/1998,5
Deux minutes de soleil en plus - Vodka Version,Les Essentiels,['Enzo Enzo'],0.994439337,1,FALSE,0.732,0.455,3,-9.903,1,0.0262,0.554,5.85E-06,0.112,0.362,124.696,234133,4,2002,5/28/2002,3
Don't Be Afraid,The Best Of The Wood Floors Vol. 2,['The Wood Floors'],0.901308351,1,FALSE,0.41,0.679,2,-7.98,1,0.0358,0.296,0.0598,0.124,0.836,113.842,94400,4,2007,5/8/2007,7
"Piano Sonata in F-Sharp Minor, Op. 26, ""L'infortunee"": III. Presto","Ries: Piano Sonatas and Sonatinas, Vol. 3","['Ferdinand Ries', 'Susan Kagan']",0.055560081,1,FALSE,0.371,0.0813,6,-21.585,0,0.033,0.988,0.871,0.106,0.089,81.99,860040,4,2010,7/27/2010,7
Bandolera,Patricia Vonne,['Patricia Vonne'],0.757547564,1,FALSE,0.559,0.588,10,-8.516,0,0.0385,0.102,0,0.387,0.227,77.923,245365,4,2008,1/31/2008,7
Small Fry,Acoustic Album,['Amos Garrett'],0.407046869,1,FALSE,0.556,0.258,4,-12.572,0,0.0654,0.549,0,0.402,0.551,106.626,201293,4,2004,5/11/2004,11
Blues Hotel,Deluxe Edition,['Koko Taylor'],0.440444818,1,FALSE,0.663,0.768,1,-6.348,1,0.0422,0.393,6.69E-05,0.266,0.848,121.934,244840,4,2002,2002,15
Bricks Not Sticks or Straw,Paused in the Moment,['Van Susans'],0.758439094,1,FALSE,0.538,0.8,1,-5.912,1,0.0407,0.0373,0,0.33,0.624,105.023,216987,4,2012,6/4/2012,1
XIV. @MarcKings,XIV. @MarcKings,['The Growth Eternal'],0.065363056,1,FALSE,0.703,0.185,4,-12.097,0,0.247,0.869,0.0033,0.114,0.223,60.355,62244,4,2020,9/1/2020,1
My Way,The Ultimate Jackie Wilson,['Jackie Wilson'],0.431353673,2,FALSE,0.488,0.456,2,-9.075,1,0.0275,0.638,0.00451,0.075,0.38,84.575,231640,4,2006,2006,18
"String Quartet No. 1, ""From the Salvation Army"": III. Offertory","Ives, C.: String Quartets Nos. 1 and 2 / Hallowe'En / Hymn (The String Quartets)","['Charles Ives', 'The Lydian String Quartet']",0.384771027,1,FALSE,0.225,0.0585,2,-21.434,1,0.049,0.958,0.8,0.483,0.0392,85.938,328000,4,1988,4/1/1988,3
Depth of Field,It's a Wonderful Life,['Chris Stamey'],0.875142778,1,FALSE,0.326,0.22,7,-16.025,1,0.0329,0.514,2.35E-05,0.135,0.142,117.798,353000,4,2006,8/7/2006,8
Son Costeno,"Lo Mejor De La Furia Oaxaquena, Vol. 2",['La Furia Oaxaqueña'],0.937361965,1,FALSE,0.658,0.925,5,-7.321,1,0.0419,0.0491,0.155,0.135,0.858,140.356,156320,4,2016,3/17/2016,10
Go Ya Lo,Meast,['Kid Spatula'],0.096920932,2,FALSE,0.517,0.794,7,-11.203,1,0.0309,0.32,0.846,0.062,0.51,98.402,296707,4,2004,4/26/2004,10
money country,sun over rain,['Danny Flanigan and The Rain Chorus'],0.2943147,1,FALSE,0.562,0.685,2,-7.943,1,0.0864,0.104,0,0.31,0.515,159.832,279707,4,1993,1/1/1993,11
Devil's Food,Devil's Food,['Supersuckers'],0.697176767,1,FALSE,0.264,0.883,5,-5.083,0,0.0438,5.80E-05,0.00884,0.0774,0.717,154.559,198693,4,2005,4/5/2005,10
Here I Sit In Prison,All You Need Is Live,['Cowboy Mouth'],0.696707701,1,FALSE,0.242,0.724,6,-8.397,0,0.0451,0.0144,6.14E-05,0.935,0.435,106.298,204240,4,2000,2000,8
Quase nada,day by day,['Luca Mundaca'],0.543203268,1,FALSE,0.812,0.31,2,-9.516,1,0.0763,0.813,0.00134,0.116,0.515,117.09,254293,4,2005,1/1/2005,9
Moment That You Had,Thrill,['Eleni Mandell'],0.163825613,1,FALSE,0.547,0.0773,7,-18.165,1,0.048,0.961,0,0.103,0.31,69.749,79293,4,2000,2000,7
The Incident,Burning Hotels,['Burning Hotels'],0.597871926,1,FALSE,0.506,0.745,8,-5.919,1,0.0321,0.0215,0,0.164,0.42,132.995,225300,4,2011,7/20/2011,6
Never Been To Me In A Riot,Kill Moto,['M.O.T.O.'],0.852509861,1,FALSE,0.538,0.938,8,-5.634,1,0.116,0.286,8.26E-05,0.0523,0.71,156.185,100333,4,2003,2003,11
Harmonic Relation,Harmonic Meetings,"['David Hykes', 'David Hykes & The Harmonic Choir']",0.710623058,1,FALSE,0.209,0.0969,3,-25.337,1,0.0476,0.98,0.744,0.0908,0.0297,130.938,341000,4,1986,1/1/1986,2
Spirit Horses,The Heron Smiled,"['Annie Humphrey', 'John Trudell']",0.907662659,1,FALSE,0.288,0.487,2,-12,1,0.0391,0.221,0,0.104,0.337,58.541,229973,4,2000,2000,13
Almost Like Being In Love,GROUNDHOG DAY: Music From The Original Motion Picture Soundtrack,['Nat King Cole'],0.368944352,1,FALSE,0.455,0.373,9,-8.341,0,0.0727,0.788,1.12E-06,0.148,0.64,180.577,112240,3,1993,3/9/1993,18
Honeysuckle Dog,Happier Blue,['Chris Smither'],0.992010602,1,FALSE,0.599,0.196,5,-19.468,1,0.0321,0.621,0.000123,0.105,0.481,124.871,215954,3,1993,9/1/1993,10
"Symphony No. 29 in A Major, K. 201: I. Allegro moderato","Mozart: Famous Symphonies, Serenades & Concertos","['Wolfgang Amadeus Mozart', 'Staatskapelle Dresden', 'Otmar Suitner']",0.31914326,1,FALSE,0.341,0.189,9,-16.525,1,0.0382,0.981,0.951,0.111,0.214,132.646,526120,4,2005,2005,5
Si tu m'entends,Schizophrène,['Anik Jean'],0.043935915,1,FALSE,0.462,0.313,0,-8.895,1,0.0305,0.358,0.00209,0.113,0.0385,130.179,268617,3,2013,2/26/2013,7
Throwing Spells,Ten Million Lights,['Ten Million Lights'],0.435006771,1,FALSE,0.558,0.789,9,-7.501,1,0.051,0.000311,0.691,0.349,0.953,128.128,245413,4,2010,10/12/2010,7
All Of My Life,Donna Cruz Sings Her Greatest Hits,['Donna Cruz'],0.827078164,1,FALSE,0.535,0.521,11,-10.106,0,0.0328,0.395,2.06E-05,0.137,0.264,150.019,266827,4,2002,1/6/2002,8
"Symphony No. 2 in B flat, Op. 52 ""Lobgesang"": Chorus: Allegro Moderato maestoso; Animato; Allegro di molto. ""Alles, was Odem hat, lobe den Herrn."" Soprano I solo, women's chorus: Molto più moderato ma con fuoco. ""Lobe den Herrn, meine Seele""",Mendelssohn: Symphonies; Overtures; Concertos,"['Felix Mendelssohn', 'Claus Peter Flor']",0.861304771,2,FALSE,0.159,0.128,10,-23.186,1,0.0512,0.961,0.0324,0.13,0.0745,66.188,429040,4,2005,5/3/2005,4
Nowhere to Run,Last Tango in Moscow,['Angelic Upstarts'],0.626324447,1,FALSE,0.542,0.852,9,-6.659,1,0.0316,0.251,0.00265,0.183,0.737,144.827,212840,4,1984,1/1/1984,12
Wise Words,Selling My Soul,['Masta Killa'],0.444330989,1,TRUE,0.53,0.555,10,-8.08,0,0.287,0.0325,3.50E-05,0.0877,0.455,82.342,214733,4,2012,12/11/2012,12
Gotta Be Tough,Greatest Hits,['M.C. Shy-D'],0.456295761,1,FALSE,0.961,0.634,4,-8.862,0,0.273,0.0303,9.78E-05,0.206,0.366,118.319,334373,4,1998,1998,4
Guest House,Great Possessions,['The Giving Tree Band'],0.827361936,1,FALSE,0.398,0.434,8,-7.309,1,0.035,0.835,0,0.22,0.598,151.406,151147,3,2009,8/18/2009,14
Stronger,"The Hangover, Pt. II (Original Motion Picture Soundtrack)",['Kanye West'],0.259078514,1,TRUE,0.63,0.703,10,-7.933,0,0.176,0.00763,0,0.526,0.495,103.977,311413,4,2011,5/24/2011,3
Night Over Sundbyberg,Love is Beautiful,['The Timewriter'],0.751348824,1,FALSE,0.736,0.906,1,-9.873,1,0.211,0.0541,0.892,0.261,0.852,127.004,452480,4,2005,9/7/2005,3
I'll Paint You a Beautiful Picture,Another Deja Vu Day,['Anfisa Vitali'],0.470881375,1,FALSE,0.547,0.639,11,-12.901,0,0.0279,0.252,0.0731,0.129,0.846,86.01,231507,4,2014,8/1/2014,9
Never See the End,Brave New World,['Amanda Lindsey Cook'],0.699274337,1,FALSE,0.472,0.721,6,-8.463,1,0.0466,0.0639,0.0269,0.122,0.187,135.982,329147,4,2015,9/25/2015,4
Into Your Arms,Four Hours Light,['Starmarket'],0.074342968,1,FALSE,0.405,0.822,11,-5.631,1,0.0454,0.006,0,0.367,0.571,86.595,216227,4,1999,1999,1
Old and Wise,Pictures of Me (feat. Jacob Karlzon & Lars Danielsson),"['Viktoria Tolstoy', 'Jacob Karlzon', 'Lars Danielsson']",0.363398446,1,FALSE,0.466,0.257,5,-11.425,0,0.0342,0.891,5.13E-05,0.249,0.217,126.605,214747,4,2006,9/22/2006,13
All in Twilight: IV. - 1/4=100 ~ Slightly Fast,Auburn,"['Toru Takemitsu', 'Mislav Režić']",0.214341949,1,FALSE,0.37,0.0072,1,-34.635,1,0.0575,0.992,0.885,0.117,0.224,101.026,172704,3,2017,1/31/2017,7
Rosie,rosebud bullets,"[""Myshkin's Ruby Warblers""]",0.284916652,1,FALSE,0.494,0.806,7,-6.862,1,0.2,0.0415,3.17E-06,0.111,0.359,162.088,189520,4,2002,1/1/2002,12
Reducing Inertia - Ver. III,Redemption,['William Verkler'],0.452425739,1,FALSE,0.169,0.329,4,-15.57,1,0.0367,0.311,0.0445,0.288,0.0323,125.475,297067,4,2008,2/5/2008,7
Damn the pique,The Unexpected One,['The Unexpected'],0.208625286,1,FALSE,0.563,0.51,7,-19.906,1,0.128,0.153,0.564,0.0705,0.247,139.164,333653,4,2004,1/1/2004,1
From Here To There / Jack Broke The Prison Door / Toss The Feathers / The Easy Club Reel,Quiet Days,['Battlefield Band'],0.332234596,1,FALSE,0.405,0.425,10,-11.699,0,0.0354,0.709,7.75E-05,0.092,0.459,111.181,251227,4,1993,1993,4
Wandering,Adventures in Vagabondia,['Taarka'],0.948001532,1,FALSE,0.484,0.551,4,-10.557,1,0.0307,0.456,0.14,0.269,0.471,154.916,246853,4,2013,1/15/2013,1
"Carnaval, Op.9: XVII. Paganini",Carnaval,['Stefania Passamonte'],0.299967498,1,FALSE,0.401,0.239,8,-22.178,1,0.0512,0.988,0.916,0.131,0.121,112.731,92787,4,2013,8/21/2013,21
James Brown Medley,Black to Comm,['MC5'],0.124776623,1,FALSE,0.407,0.576,1,-13.327,0,0.0799,0.0731,0.848,0.125,0.501,118.393,476480,4,1994,1994,6
The New Monkey Shine,All My Best,['Jimmy Mayes'],0.054481806,1,FALSE,0.457,0.892,7,-5.564,1,0.108,0.00142,1.39E-06,0.377,0.88,138.874,126960,4,2012,5/9/2012,8
Up Jumped Spring,Red and Blue,['Muriel Zoe'],0.393535631,1,FALSE,0.752,0.257,1,-16.187,0,0.104,0.184,0.000128,0.0698,0.486,127.062,188267,3,2003,2003,3
After Life,The Rabbit Hole,['Ashe'],0.404023902,1,FALSE,0.719,0.486,9,-4.586,1,0.0338,0.29,0.202,0.0879,0.528,140.042,229120,4,2018,6/22/2018,1
Lets Roll,Handgrenade Blues,['Supercharger'],0.401416413,1,FALSE,0.334,0.914,9,-5.311,1,0.0657,1.42E-05,0.482,0.134,0.397,76.881,279240,4,2009,9/28/2009,4
Old Spitalfields,Not Gone Not Forgotten,['Rothko'],0.552226707,1,FALSE,0.633,0.31,2,-18.413,1,0.0294,0.984,0.919,0.0479,0.123,106.06,246320,4,2001,6/1/2001,13
Asleep On A Train,Ghost,['Radical Face'],0.244585001,1,FALSE,0.203,0.219,0,-16.676,1,0.0344,0.705,0.958,0.313,0.0383,107.766,121182,4,2007,3/2/2007,1
Choking To Death (From The Ties That Bind),Gag a Maggot (Remastered),['Swamp Dogg'],0.27520317,1,FALSE,0.715,0.695,0,-9.596,1,0.0358,0.615,0.0116,0.215,0.84,136.81,324240,4,2013,5/14/2013,2
Bullets,All The Stars and Boulevards,['Augustana'],0.206911795,1,FALSE,0.49,0.844,10,-3.803,1,0.0323,0.000334,0.00023,0.0648,0.321,135.944,191040,4,2005,2005,2
Piano Trio in D Major: II. Romanze: Andante,"Taneyev: Piano Trio in D Major, Op. 22 - Borodin: Piano Trio in D Major","['Alexander Borodin', 'Delta Piano Trio']",0.029809938,1,FALSE,0.232,0.0292,11,-26.771,1,0.0426,0.982,0.496,0.0706,0.0556,123.181,467173,4,2017,4/14/2017,6
Maldoror's Love,Who Do You Love,['Årabrot'],0.880661631,1,FALSE,0.4,0.618,5,-7.206,1,0.0477,0.0245,0,0.112,0.591,147.942,206812,4,2018,9/7/2018,1
Funky Mama,St. Louis Blues,['Akiko Tsuruga'],0.302467022,1,FALSE,0.63,0.528,10,-8.809,0,0.031,0.21,0.805,0.252,0.585,131.012,387573,4,2007,1/1/2007,1
Gingervitus,Between The Lies,['Memphis May Fire'],0.408982381,1,TRUE,0.245,0.973,6,-3.837,0,0.469,5.04E-05,0,0.0526,0.332,76.285,249227,4,2010,11/2/2010,5
The Christmas Song,Christmas In New Orleans,['Johnny Adams'],0.934787195,1,FALSE,0.399,0.299,1,-18.454,1,0.0348,0.36,6.06E-06,0.0673,0.126,59.855,217507,4,2008,1/1/2008,5
"Messiah, HWV 56: Part I, No. 4: Chorus ""And the Glory of the Lord Shall be Revealed""",Handel: Messiah,"['George Frideric Handel', 'Leonard Bernstein', 'New York Philharmonic']",0.06929554,1,FALSE,0.429,0.328,9,-13.694,1,0.0313,0.973,0.541,0.0962,0.352,75.414,183893,1,1958,1958,4
Poor Man Blues,Chicago Blues Session Vol. 4,['Alabama Jr.Pettis'],0.21495026,1,FALSE,0.429,0.753,5,-6.776,0,0.0559,0.417,9.25E-06,0.359,0.903,152.735,219613,3,1950,1950,10
Meter Made,B-3 Blues and Grooves,"[""Ron Levy's Wild Kingdom""]",0.41964931,1,FALSE,0.687,0.682,7,-11.67,1,0.0547,0.0264,0.703,0.0691,0.96,94.667,224627,4,2012,5/8/2012,6
"The Good Soldier Schweik: Act I, Scene 5: The ego and the Id (1st Psychiatrist)",Kurka: Good Soldier Schweik (The),"['Robert Kurka', 'Chicago Opera Theater Ensemble', 'Alexander Platt']",0.831695737,1,FALSE,0.452,0.134,5,-25.286,1,0.225,0.953,0,0.206,0.23,156.238,177093,4,2000,1/1/2000,10
No More Love (feat. Shaé Universe),He's Not Mine,"['Etta Bond', 'Shaé Universe']",0.865212235,1,FALSE,0.314,0.42,7,-7.754,1,0.195,0.418,0,0.176,0.476,194.514,196800,4,2019,3/15/2019,4
Traumfrau,Tabaluga und das leuchtende Schweigen,['Peter Maffay'],0.74345733,1,FALSE,0.378,0.642,0,-10.685,1,0.0501,0.24,0.00191,0.105,0.742,173.704,333867,4,1986,5/14/1986,6
Darn That Dream,New York Blue,"['Andy Ezrin', 'Valerie Joyce']",0.141744543,1,FALSE,0.509,0.173,5,-16.256,0,0.0429,0.944,2.37E-06,0.117,0.321,104.094,176000,4,2001,2001,11
Makeba - Dirty Ridin' Remix,Zanaka (Deluxe),['Jain'],0.110092626,1,FALSE,0.835,0.659,7,-9.195,0,0.257,0.405,0.0513,0.0871,0.712,115.94,243973,4,2016,11/25/2016,16
A Cottage For Sale,Alone At the Palace,['Joe Venuti And Dave McKenna'],0.286756885,1,FALSE,0.462,0.0703,10,-21.886,1,0.0535,0.987,0.275,0.12,0.208,91.373,185960,4,1977,1977,8
Do You Feel It,Big Day,['Slow Pulp'],0.583528497,1,FALSE,0.335,0.431,5,-10.603,1,0.0308,0.391,0.116,0.156,0.0474,145.74,107500,4,2019,5/15/2019,1
Not Even Married,Why Love Now,['Pissed Jeans'],0.307551004,1,FALSE,0.544,0.98,2,-4.316,1,0.0816,0.000138,0.000115,0.0946,0.541,135.054,155964,4,2017,2/24/2017,12
I Can,Legendary,"['Z-Ro', 'Mike D']",0.646566415,1,TRUE,0.606,0.884,2,-4.59,0,0.303,0.121,0,0.0955,0.698,139.759,263248,4,2016,11/11/2016,7
"Breathing Your Love - Live At Morgonpasset, P3",Flashback (Bonus Track Version),['Darin'],0.860721401,1,FALSE,0.484,0.246,0,-9.519,1,0.0414,0.899,2.34E-06,0.0833,0.325,62.399,206067,4,2008,11/28/2008,13
Here to Stay,Here to Stay,['Avery Watts'],0.090290658,1,FALSE,0.553,0.978,5,-3.198,1,0.179,0.000858,0.000143,0.0561,0.237,94.995,246316,4,2014,12/15/2014,1
"Toccate e partite d'intavolatura di cimbalo et organo, libro primo: Toccata Nona","Frescobaldi, G.: Harpsichord Music","['Girolamo Frescobaldi', 'Colin Tilney']",0.759515302,1,FALSE,0.315,0.367,8,-16.796,0,0.0351,0.864,0.12,0.113,0.581,92.683,343107,5,1990,1/1/1990,13
Beneath the Mirabella,Circus Sanctuary,['Christina Linhardt'],0.906183173,1,FALSE,0.418,0.396,1,-8.362,1,0.0271,0.76,8.11E-06,0.261,0.159,83.613,208333,3,2002,1/1/2002,7
Love Please Come Home,The Complete Boarding House Shows,['Old & In The Way'],0.127357241,3,FALSE,0.553,0.598,4,-11.003,1,0.0616,0.533,0.109,0.834,0.725,118.998,203827,4,2013,10/29/2013,2
"Partita No. 5 in G Major, BWV 829: I. Praeambulum",Bach: Partitas,"['Johann Sebastian Bach', 'Robert Woolley']",0.552765181,2,FALSE,0.273,0.156,6,-30.483,1,0.0381,0.895,0.557,0.0417,0.868,112.861,160760,3,2013,2013,15
Summertime,24 Off The Board,['Nina Storey'],0.108134959,1,FALSE,0.515,0.442,11,-9.617,1,0.0519,0.642,0,0.707,0.442,122.848,312413,4,2004,7/20/2004,15
I'll Take It,Blood On The Keys,['James Leg'],0.489327805,1,FALSE,0.391,0.75,0,-7.933,1,0.0307,0.472,0.000379,0.11,0.622,149.973,254053,3,2016,9/30/2016,5
New,Promise of a Brand New Day,"['Ruthie Foster', 'Toshi Reagon']",0.833568848,1,FALSE,0.261,0.256,2,-9.301,1,0.031,0.944,0.00303,0.136,0.146,82.196,192440,5,2014,8/19/2014,12
A Night in Martinique,Buddha-Lounge 6,['David Gordon'],0.343372583,1,FALSE,0.711,0.502,7,-14.101,1,0.0358,0.29,0.927,0.14,0.7,111.013,350757,4,2008,4/1/2008,9
Light in the Window,The April Verch Anthology,['April Verch'],0.692323535,1,FALSE,0.529,0.359,5,-8.34,1,0.0282,0.694,0.000124,0.187,0.707,90.283,188292,4,2017,2/17/2017,7
